LeadID,Topic,FirstName,LastName,JobTitle,CompanyName,Email,Phone,Industry,LeadSource,Status,Rating,EstimatedValue,EstimatedCloseDate,CreatedOn,ModifiedOn,OwnerID
LEAD-043,Incident Response,Robert,Lewis,IT Director,Analytics Pro,Robert.lewis@analyticspro.com,+65 84401833,Consulting,Email Campaign,Converted,Hot,30844,2025-09-07,2024-12-13,2024-12-24,USER-008
LEAD-044,Penetration Testing,Matthew,Clark,HR Manager,DataGuard,Matthew.clark@dataguard.com,+65 81229583,Government,Social Media,Open,Cold,27315,2025-10-03,2024-12-04,2024-12-28,USER-006
LEAD-045,Data Encryption,Emma,Brown,Data Analyst,SecureNet,Emma.brown@securenet.com,+65 94480100,Government,Partner,Converted,Hot,36004,2025-04-24,2025-01-31,2025-02-12,USER-019
LEAD-046,Incident Response,Ashley,Lewis,Security Manager,LegalEase,Ashley.lewis@legalease.com,+65 89641761,Legal,Referral,Converted,Hot,30154,2025-10-30,2025-02-02,2025-02-03,USER-017
LEAD-047,ERP Implementation,David,Davis,Data Security Officer,DataSafe,David.davis@datasafe.com,+65 85839186,Education,Webinar,Converted,Hot,40734,2025-03-06,2024-12-06,2024-12-24,USER-019
LEAD-048,Security Audit,Robert,Lewis,IT Director,Zeta Solutions,Robert.lewis@zetasolutions.com,+65 90349164,Non-profit,Email Campaign,Converted,Hot,13503,2025-03-07,2025-01-06,2025-02-01,USER-001
LEAD-049,Data Analytics Solution,Christopher,Garcia,Security Manager,Analytics Pro,Christopher.garcia@analyticspro.com,+65 97040741,Manufacturing,Website,Open,Hot,44480,2025-12-18,2025-01-01,2025-01-30,USER-015
LEAD-050,Cloud Migration,Michael,Rodriguez,Security Engineer,Beta Innovations,Michael.rodriguez@betainnovations.com,+65 89767482,Healthcare,Referral,Converted,Cold,30596,2025-09-26,2025-02-22,2025-03-07,USER-015
LEAD-051,Digital Transformation,Michael,Clark,Data Security Officer,Cloud Solutions,Michael.clark@cloudsolutions.com,+65 85217024,Education,Referral,Converted,Cold,38679,2025-04-11,2025-01-20,2025-02-04,USER-019
LEAD-052,Data Encryption,David,Smith,Data Security Officer,Gamma Enterprises,David.smith@gammaenterprises.com,+65 80109881,Manufacturing,Event,Converted,Cold,38680,2025-11-11,2025-01-18,2025-02-12,USER-017
LEAD-053,ERP Implementation,Matthew,Wilson,Compliance Officer,HealthFirst,Matthew.wilson@healthfirst.com,+65 87836430,Manufacturing,Partner,Open,Hot,12953,2025-05-04,2025-01-22,2025-02-02,USER-003
LEAD-054,Network Security,Emma,Wilson,Compliance Officer,LegalEase,Emma.wilson@legalease.com,+65 81655470,Government,Webinar,Open,Warm,38498,2025-10-26,2025-02-06,2025-02-15,USER-016
LEAD-055,Network Security,Jessica,Garcia,IT Specialist,Peak Performance,Jessica.garcia@peakperformance.com,+65 80704726,Financial Services,Website,Converted,Cold,40941,2025-09-24,2024-12-17,2024-12-28,USER-011
LEAD-056,Security Audit,Robert,Garcia,Project Manager,FinanceFirst,Robert.garcia@financefirst.com,+65 95856730,Non-profit,Email Campaign,Converted,Warm,55370,2025-07-03,2025-02-09,2025-02-17,USER-004
LEAD-057,Security Awareness Training,Christopher,Smith,IT Director,Manufacturing Plus,Christopher.smith@manufacturingplus.com,+65 91964534,Healthcare,Event,Open,Cold,24415,2025-07-18,2024-12-25,2025-01-02,USER-009
LEAD-058,Penetration Testing,Jessica,Rodriguez,Consultant,NetSolutions,Jessica.rodriguez@netsolutions.com,+65 99053821,Manufacturing,Social Media,Converted,Cold,21313,2025-03-21,2025-01-03,2025-01-22,USER-015
LEAD-059,ERP Implementation,Jessica,Rodriguez,Security Engineer,RetailMart,Jessica.rodriguez@retailmart.com,+65 83999249,Consulting,Partner,Open,Hot,45362,2025-04-26,2024-12-19,2024-12-29,USER-014
LEAD-060,Cloud Migration,Ashley,Lewis,Network Engineer,LegalEase,Ashley.lewis@legalease.com,+65 89037603,Government,Direct Mail,Converted,Hot,47310,2025-10-26,2025-01-11,2025-01-14,USER-013
LEAD-061,Penetration Testing,Robert,Lee,Cloud Architect,SecureNet,Robert.lee@securenet.com,+65 90433275,Government,Partner,Converted,Hot,34241,2025-12-05,2024-12-14,2024-12-27,USER-004
LEAD-062,Network Security,Jessica,Lewis,IT Specialist,CyberSecure,Jessica.lewis@cybersecure.com,+65 88126537,Manufacturing,Referral,Converted,Hot,34381,2025-07-04,2024-12-12,2024-12-13,USER-019
LEAD-063,Penetration Testing,Matthew,Davis,Cloud Architect,DataSafe,Matthew.davis@datasafe.com,+65 81632094,Financial Services,LinkedIn,Converted,Hot,29573,2025-10-13,2024-12-19,2024-12-30,USER-006
LEAD-064,Cloud Migration,Ashley,Lewis,Security Manager,NetSolutions,Ashley.lewis@netsolutions.com,+65 91182581,Financial Services,Email Campaign,Open,Cold,14598,2026-02-10,2025-02-20,2025-03-02,USER-009
LEAD-065,Data Analytics Solution,John,Clark,IT Manager,LegalEase,John.clark@legalease.com,+65 92450574,Healthcare,Email Campaign,Converted,Hot,46736,2025-11-25,2025-01-03,2025-01-14,USER-011
LEAD-066,Data Encryption,Robert,Wilson,System Administrator,InfoDefense,Robert.wilson@infodefense.com,+65 87153788,Consulting,Event,Open,Cold,49320,2025-06-04,2024-12-17,2024-12-25,USER-015
LEAD-067,Incident Response,Emma,Rodriguez,CISO,TechCorp Inc.,Emma.rodriguez@techcorpinc..com,+65 81974067,Healthcare,Event,Open,Warm,56692,2025-08-04,2024-12-04,2024-12-16,USER-001
LEAD-068,Data Analytics Solution,Jessica,Wilson,Compliance Officer,DataGuard,Jessica.wilson@dataguard.com,+65 85908662,Financial Services,Email Campaign,Converted,Warm,50838,2025-10-22,2025-01-24,2025-02-23,USER-010
LEAD-069,Incident Response,Jessica,Rodriguez,Security Manager,Peak Performance,Jessica.rodriguez@peakperformance.com,+65 80136255,Manufacturing,Event,Converted,Warm,51441,2026-01-15,2025-02-17,2025-03-15,USER-008
LEAD-070,Cloud Migration,Robert,Wilson,Consultant,Retail Solutions,Robert.wilson@retailsolutions.com,+65 81869299,Healthcare,Webinar,Open,Warm,44256,2025-12-13,2024-12-30,2025-01-02,USER-016
LEAD-071,Cloud Migration,Sarah,Wilson,Compliance Officer,Innovate Inc.,Sarah.wilson@innovateinc..com,+65 88927694,Consulting,Website,Converted,Cold,44067,2025-03-24,2024-12-30,2025-01-07,USER-013
LEAD-072,Cloud Migration,Emma,Smith,Data Analyst,Innovate Inc.,Emma.smith@innovateinc..com,+65 97315571,Financial Services,Event,Converted,Hot,44978,2025-08-15,2024-12-03,2024-12-11,USER-013
LEAD-073,Digital Transformation,David,Brown,System Administrator,CyberSecure,David.brown@cybersecure.com,+65 82521544,Education,Referral,Converted,Warm,42543,2025-12-08,2025-02-25,2025-03-16,USER-014
LEAD-074,Penetration Testing,Michael,Garcia,Cloud Architect,Innovate Inc.,Michael.garcia@innovateinc..com,+65 97765719,Consulting,Direct Mail,Converted,Warm,52400,2025-08-04,2025-01-06,2025-01-10,USER-007
LEAD-075,ERP Implementation,Ashley,Garcia,Cloud Architect,EduPlus,Ashley.garcia@eduplus.com,+65 89595732,Financial Services,Website,Converted,Cold,29373,2025-04-06,2025-02-24,2025-03-05,USER-015
LEAD-076,Data Encryption,Robert,Clark,COO,FinanceFirst,Robert.clark@financefirst.com,+65 86159255,Non-profit,Email Campaign,Converted,Warm,12172,2025-12-23,2024-12-27,2025-01-13,USER-014
LEAD-077,Security Awareness Training,Jessica,Davis,HR Manager,DataSafe,Jessica.davis@datasafe.com,+65 89316563,Financial Services,Referral,Converted,Cold,21650,2025-04-14,2024-12-24,2025-01-22,USER-010
LEAD-078,Security Audit,John,Clark,Security Analyst,AppSecure,John.clark@appsecure.com,+65 94321454,Financial Services,Referral,Converted,Cold,35921,2025-07-26,2024-12-04,2024-12-17,USER-018
LEAD-079,Network Security,Ashley,Rodriguez,HR Manager,FinanceFirst,Ashley.rodriguez@financefirst.com,+65 94781091,Non-profit,LinkedIn,Open,Warm,30828,2025-04-17,2025-02-02,2025-02-18,USER-010
LEAD-080,Incident Response,Matthew,Rodriguez,CEO,Innovate Inc.,Matthew.rodriguez@innovateinc..com,+65 89423751,Government,Event,Converted,Hot,17207,2025-11-20,2025-01-07,2025-01-30,USER-008
LEAD-081,Digital Transformation,Ashley,Lee,Data Analyst,MedTech,Ashley.lee@medtech.com,+65 86026178,Non-profit,Social Media,Converted,Warm,12152,2025-10-20,2024-12-26,2025-01-01,USER-017
LEAD-082,Security Awareness Training,David,Lewis,CEO,MedTech,David.lewis@medtech.com,+65 90369564,Financial Services,Social Media,Converted,Warm,24383,2025-08-26,2024-12-26,2025-01-24,USER-019
LEAD-083,Penetration Testing,Emma,Clark,IT Manager,GlobalTech,Emma.clark@globaltech.com,+65 99427678,Financial Services,Social Media,Open,Hot,59730,2025-05-26,2024-12-20,2024-12-22,USER-014
LEAD-084,Data Analytics Solution,Emma,Garcia,System Administrator,Beta Innovations,Emma.garcia@betainnovations.com,+65 87060341,Consulting,LinkedIn,Converted,Hot,27539,2025-11-02,2024-12-19,2025-01-12,USER-017
LEAD-085,ERP Implementation,Jessica,Garcia,HR Manager,AppSecure,Jessica.garcia@appsecure.com,+65 82936963,Government,Email Campaign,Open,Hot,51406,2025-04-16,2025-02-16,2025-03-12,USER-016
LEAD-086,Security Audit,Robert,Rodriguez,Security Analyst,Beta Innovations,Robert.rodriguez@betainnovations.com,+65 82087619,Retail,Trade Show,Converted,Cold,51326,2025-12-31,2025-01-26,2025-02-24,USER-017
LEAD-087,Cloud Migration,David,Garcia,Cloud Architect,Analytics Pro,David.garcia@analyticspro.com,+65 99088671,Retail,Direct Mail,Converted,Hot,31291,2025-06-21,2025-01-02,2025-01-18,USER-016
LEAD-088,Incident Response,David,Lee,HR Manager,FinanceFirst,David.lee@financefirst.com,+65 96139253,Manufacturing,Social Media,Converted,Hot,49070,2025-03-05,2024-12-23,2025-01-20,USER-001
LEAD-089,Data Encryption,Ashley,Davis,IT Specialist,DataGuard,Ashley.davis@dataguard.com,+65 91107749,Consulting,Referral,Converted,Cold,14176,2025-05-21,2024-12-14,2025-01-09,USER-015
LEAD-090,Data Analytics Solution,Robert,Brown,COO,EduPlus,Robert.brown@eduplus.com,+65 82473198,Consulting,Partner,Converted,Warm,43756,2025-12-24,2025-01-15,2025-01-21,USER-005
LEAD-091,Penetration Testing,Emma,Davis,Data Security Officer,Delta Systems,Emma.davis@deltasystems.com,+65 97398005,Manufacturing,Social Media,Converted,Warm,10719,2025-11-02,2025-02-07,2025-03-08,USER-014
LEAD-092,ERP Implementation,Sarah,Johnson,CEO,TechCorp Inc.,Sarah.johnson@techcorpinc..com,+65 81202422,Legal,Email Campaign,Converted,Cold,41012,2025-10-28,2025-01-11,2025-01-21,USER-015
LEAD-093,Penetration Testing,David,Rodriguez,IT Manager,Gamma Enterprises,David.rodriguez@gammaenterprises.com,+65 98248325,Manufacturing,Partner,Converted,Warm,41192,2025-06-07,2025-02-02,2025-03-03,USER-014
LEAD-094,Cloud Migration,Matthew,Smith,IT Director,CyberSecure,Matthew.smith@cybersecure.com,+65 97826541,Manufacturing,Direct Mail,Open,Cold,56150,2025-08-29,2024-12-07,2024-12-30,USER-003
LEAD-095,Data Encryption,Matthew,Brown,Compliance Officer,SecurePlus,Matthew.brown@secureplus.com,+65 99604359,Healthcare,LinkedIn,Open,Hot,29153,2025-08-10,2025-02-24,2025-03-11,USER-006
LEAD-096,Data Encryption,Christopher,Johnson,CISO,HealthFirst,Christopher.johnson@healthfirst.com,+65 88671397,Financial Services,Trade Show,Converted,Hot,10098,2025-09-11,2024-12-25,2025-01-02,USER-008
LEAD-097,Security Awareness Training,Christopher,Smith,System Administrator,DataGuard,Christopher.smith@dataguard.com,+65 97850578,Retail,Email Campaign,Converted,Warm,39167,2025-11-11,2025-01-17,2025-02-03,USER-005
LEAD-098,Incident Response,John,Wilson,Security Manager,GlobalTech,John.wilson@globaltech.com,+65 92077528,Manufacturing,Partner,Converted,Hot,40325,2025-09-18,2024-12-22,2024-12-24,USER-019
LEAD-099,Incident Response,John,Davis,CISO,Peak Performance,John.davis@peakperformance.com,+65 93647643,Education,Trade Show,Converted,Warm,46185,2026-02-05,2025-02-22,2025-03-23,USER-007
LEAD-100,Data Encryption,Emma,Garcia,CTO,Retail Solutions,Emma.garcia@retailsolutions.com,+65 87938757,Retail,Event,Converted,Hot,47879,2025-05-23,2025-01-22,2025-02-20,USER-001
